	Line 329: 03:31.784	ID:21	30 0 210 0 2570 45 1 0 13368 14135 12844 12337 2048 0 449 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 331: 03:37.264	ID:21	26631,216,216,9
	Line 332: 03:37.300	ID:21	30 0 216 0 2313 50 1 0 13110 11313 12594 54 2048 0 248 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 334: 03:40.936	ID:21	14138,220,219,11
	Line 335: 03:40.963	ID:21	30 0 219 0 2827 49 1 0 13105 11320 12850 48 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 337: 03:43.238	ID:21	-15235,222,222,18
	Line 338: 03:43.275	ID:21	30 0 222 0 4626 45 1 0 12853 13619 12844 12850 2048 0 172 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 341: 03:50.609	ID:21	-20648,229,229,14
	Line 342: 03:50.646	ID:21	30 0 229 0 3598 45 2 0 13872 14388 12844 14642 2048 0 487 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 50188 4834 23718 16189
	Line 344: 03:58.752	ID:21	19628,238,237,2
	Line 345: 03:58.787	ID:21	30 0 237 0 514 49 2 0 12854 11320 13106 56 2048 0 173 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 347: 04:00.477	ID:21	3559,239,239,7
	Line 348: 04:00.514	ID:21	30 0 239 0 1799 51 1 0 14645 12844 14643 2048 2048 0 435 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 350: 04:03.723	ID:21	266,242,242,2
	Line 351: 04:03.758	ID:21	30 0 242 0 514 50 2 0 11318 13362 50 2050 2048 0 202 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 353: 04:08.972	ID:21	-7383,247,247,19
	Line 354: 04:09.008	ID:21	30 0 247 0 4883 45 1 0 14387 11315 13362 55 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 357: 04:11.886	ID:21	13544,251,250,15
	Line 358: 04:11.914	ID:21	30 0 250 0 3855 49 1 0 13365 11316 13618 49 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 359: 04:11.949	ID:21	-24189,251,250,7
	Line 360: 04:11.977	ID:21	30 0 250 0 1799 45 1 0 12596 14648 12844 12597 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 362: 04:12.420	ID:21	-13343,251,251,11
